t_ms,VA,VG,V+,pos_a,pos_g,eps_a,eps_g,erreur,vel_a,vel_g
9980,2.4858,2.3216,2.1532,0.827,4.1851,0.0046,-0.1001,0.01003,0.056,-1.001
10081,2.2446,2.1799,1.9541,0.827,4.1851,-0.0516,-0.0273,0.00341,-0.293,-1.005
10186,2.3451,2.1065,1.8801,0.827,4.1851,-0.0184,-0.1981,0.0396,-0.085,-0.875
10283,2.4858,2.3216,2.1532,0.827,4.1851,0.0046,-0.1001,0.01003,-0.082,-1.232
10386,2.2848,2.2141,2.0167,0.827,4.101,-0.0322,-0.0209,0.00147,-0.168,-0.986
10490,2.3401,2.1799,1.9882,0.827,4.1851,-0.0112,-0.1062,0.0114,-0.004,-1.007
10590,2.3099,2.0723,2.085,0.827,4.1851,0.1352,-0.0936,0.02703,-0.268,-1.122
10688,2.4758,2.3216,2.1191,0.8563,4.1851,-0.0193,-0.105,0.0114,-0.223,-0.993
10793,2.4858,2.3314,2.1532,0.827,4.1851,-0.0036,-0.0947,0.00898,-0.019,-0.953
10893,2.4858,2.3216,2.1532,0.827,4.1851,0.0046,-0.1001,0.01003,0.014,-1.109
10992,2.3702,2.131,1.9598,0.8563,4.1851,0.0173,-0.1749,0.03088,-0.185,-1.071
11096,2.4858,2.3265,2.1532,0.827,4.1851,0.0005,-0.0974,0.00948,0.052,-0.992
11196,2.2747,2.2092,2.011,0.827,4.1851,-0.0337,-0.0162,0.0014,-0.134,-1.043
11296,2.2345,2.1896,2.0224,0.827,4.1851,-0.0178,0.0175,0.00062,-0.006,-1.003
11398,2.3753,2.2825,1.9199,0.8563,4.1851,-0.1342,-0.1141,0.03102,-0.154,-1.15
11501,2.3451,2.1163,1.8972,0.827,4.1851,-0.0156,-0.1854,0.03461,-0.155,-1.033
11603,2.335,2.1065,1.9199,0.827,4.1851,0.0053,-0.171,0.02927,-0.176,-1.331
11704,2.4808,2.3216,2.1703,0.827,4.1851,0.0146,-0.0877,0.00791,-0.151,-1.198
11807,2.3451,2.1017,1.8858,0.827,4.1851,-0.0106,-0.1983,0.03946,-0.107,-1.141
11905,2.325,2.0968,2.0793,0.8563,4.1851,0.114,-0.0974,0.02249,-0.207,-1.308
