t_ms,VA,VG,V+,pos_a,pos_g,eps_a,eps_g,erreur,vel_a,vel_g
13006,2.5914,2.3363,2.1532,0.7683,4.4656,0.0128,-0.1956,0.03842,0.11,-1.8
13097,0.9477,2.1163,2.1703,0.7977,4.4656,-0.1105,1.304,1.71258,-0.045,-1.704
13199,2.4456,2.1652,1.9427,0.7683,4.4656,-0.0077,-0.2375,0.05648,0.139,-1.795
13304,2.5864,2.3412,2.1703,0.7683,4.4656,0.0187,-0.1806,0.03296,-0.096,-1.782
13404,2.4356,2.1114,1.8744,0.7683,4.4656,-0.0086,-0.2867,0.08227,-0.086,-1.783
13504,2.5914,2.3314,2.1532,0.739,4.4656,0.0168,-0.1983,0.03959,0.178,-1.8
13605,2.4607,2.1799,1.9427,0.739,4.4656,-0.0171,-0.2443,0.05997,-0.06,-1.797
13706,2.325,2.1896,1.9882,0.7977,4.4656,-0.0223,-0.086,0.0079,-0.045,-1.77
13814,2.4607,2.1408,1.9199,0.7683,4.4656,0.001,-0.2756,0.07594,-0.012,-1.787
13916,2.4758,2.1457,1.9427,0.739,4.4656,0.0145,-0.2778,0.07739,0.05,-1.755
14006,2.4557,2.1408,1.9256,0.7683,4.4656,0.0037,-0.2682,0.07193,0.137,-1.8
14108,2.4858,2.1505,1.9199,0.739,4.4656,-0.0023,-0.2949,0.08695,-0.004,-1.797
14219,2.4909,2.175,2.0053,0.7683,4.4656,0.0331,-0.2494,0.0633,0.042,-1.795
14318,2.5864,2.3363,2.1532,0.739,4.4656,0.0118,-0.1907,0.03649,0.121,-1.8
14412,2.4155,2.087,2.0508,0.7683,4.4656,0.1214,-0.2039,0.05631,-0.022,-1.769
14514,2.4255,2.0968,2.102,0.827,4.4095,0.1481,-0.1862,0.0566,0.106,-1.77
14615,2.5914,2.3314,2.1589,0.7683,4.4656,0.0205,-0.1958,0.03876,0.026,-1.799
14716,2.4507,2.1114,1.8801,0.7683,4.4656,-0.002,-0.299,0.08942,0.062,-1.783
14817,2.5914,2.3363,2.1589,0.7683,4.4656,0.0164,-0.1931,0.03757,0.13,-1.8
14927,2.4507,2.1163,1.8858,0.7683,4.4656,-0.0025,-0.2939,0.08637,-0.043,-1.737
15018,2.4155,2.0919,2.0906,0.7683,4.4656,0.1429,-0.184,0.05426,0.071,-1.765
15120,2.4004,2.087,2.0394,0.7683,4.4656,0.1111,-0.194,0.05,0.019,-1.769
15221,2.3652,2.2141,1.9939,0.7683,4.4656,-0.0313,-0.1096,0.013,-0.171,-1.769
15332,2.3551,2.2043,1.9882,0.7683,4.4656,-0.0287,-0.1076,0.0124,0.053,-1.728
15429,2.4858,2.175,1.9256,0.7683,4.4656,-0.0191,-0.279,0.07822,-0.073,-1.735
15530,2.4004,2.2434,2.011,0.739,4.4656,-0.038,-0.1207,0.01602,-0.125,-1.735
15632,2.4104,2.0821,2.0451,0.7683,4.4656,0.1208,-0.2041,0.05626,-0.105,-1.765
15733,2.5914,2.3314,2.1646,0.7683,4.4656,0.0242,-0.1933,0.03796,-0.112,-1.794
15834,2.4808,2.1652,1.9199,0.7683,4.4656,-0.0156,-0.2819,0.07971,0.136,-1.8
15932,2.5914,2.3314,2.1532,0.739,4.4656,0.0168,-0.1983,0.03959,0.123,-1.8
16034,2.4607,2.131,1.9142,0.7683,4.4656,0.0055,-0.2834,0.08034,-0.054,-1.782
16135,2.4557,2.1261,1.8744,0.7683,4.4656,-0.017,-0.2984,0.08933,0.12,-1.8
