t_ms,eps_a,eps_g
12241,-0.01142,-0.07841
12264,-0.01861,-0.09402
12285,-0.09242,-0.15632
12308,-0.10569,-0.15943
12330,0.00797,-0.07496
12353,-0.07599,-0.11813
12375,0.02632,-0.0639
12397,0.04251,-0.17635
12419,-0.11278,-0.14322
12442,-0.1253,-0.14203
12464,-0.04402,-0.09687
12486,0.03072,-0.04928
12508,-0.01861,-0.09402
12531,0.02761,-0.06741
12554,-0.11751,-0.14202
12576,-0.01861,-0.09402
12598,0.01482,-0.03346
12620,0.02006,-0.06331
12643,-0.12653,-0.15248
12665,0.01652,-0.07066
12687,-0.01861,-0.09402
12709,-0.02943,-0.13413
12732,0.02806,-0.05325
12754,-0.02893,-0.10097
12776,0.04477,-0.04987
12798,0.02426,-0.08965
12821,-0.01265,-0.08476
12843,-0.10206,-0.1411
12866,-0.01123,-0.06239
12887,-0.01518,-0.09171
12910,0.02141,-0.08078
12932,-0.0137,-0.08125
12955,-0.02297,-0.09171
12976,0.01579,-0.08092
12999,-0.10204,-0.11614
13022,0.02437,-0.11553
13044,0.03591,-0.06721
13067,0.00829,-0.05987
13088,-0.11125,-0.14262
13111,-0.10612,-0.14864
13133,-0.52773,-0.30755
13156,0.05202,1.29141
13177,1.28119,-0.95337
13200,-0.01861,-0.09402
13222,-0.01583,-0.06212
13245,-0.04733,-0.10012
13267,-0.01953,-0.08939
13289,-0.03793,-0.08853
13311,0.00327,-0.07973
13334,0.05025,-0.04676
13356,-0.03331,-0.09476
13378,-0.02549,-0.09866
13400,0.02694,-0.05868
13423,-0.01875,-0.0663
13445,-0.10832,-0.1405
13467,-0.01556,-0.06603
13489,-0.09285,-0.14553
13512,-0.02549,-0.09866
13535,0.01321,-0.19158
13557,-0.00451,-0.07973
13579,-0.01861,-0.09402
13601,-0.00296,-0.08714
13624,-0.08356,-0.10807
13646,0.01464,-0.1113
13668,-0.00683,-0.07662
13690,-0.01821,-0.09885
13713,0.05398,-0.0543
13735,-0.09052,-0.12369
13758,-0.02073,-0.1058
13779,0.02795,-0.17595
13802,0.02745,-0.05848
13824,-0.01861,-0.09402
13847,0.00682,-0.07238
13868,-0.11063,-0.13739
13891,-0.01861,-0.09402
13913,0.00617,-0.07165
13936,-0.09699,-0.13315
13957,0.01047,-0.06206
13980,-0.00927,-0.07258
14003,-0.01861,-0.09402
14025,-0.09718,-0.11826
14048,-0.03777,-0.09747
14069,-0.01861,-0.09402
14092,0.00795,-0.069
14114,-0.01314,-0.06411
14137,-0.02136,-0.08012
14158,-0.10822,-0.13547
14181,-0.00492,-0.0749
14203,-0.13459,-0.14858
14226,-0.12299,-0.14514
14248,-0.00309,-0.08416
14270,-0.00046,-0.07218
14292,-0.05471,-0.10495
14315,-0.01386,-0.10117
14337,0.00332,-0.06278
14359,-0.0408,-0.10462
14381,-0.02205,-0.09634
14404,0.00953,-0.08032
14426,-0.00016,-0.08204
14448,-0.01821,-0.09885
14470,0.04831,-0.15815
14493,-0.09385,-0.12097
14516,-0.02136,-0.08012
14538,-0.01513,-0.07682
14560,0.03577,-0.06629
14582,0.00362,-0.07264
14605,0.01461,-0.07238
14627,-0.02852,-0.10581
14649,-0.06696,-0.10767
14671,-0.08343,-0.10899
14694,-0.0177,-0.09866
14716,-0.11469,-0.14494
14739,0.03752,-0.05563
14760,-0.01477,-0.09654
14783,-0.00091,-0.08635
14805,-0.07738,-0.11965
14828,-0.0264,-0.09402
14849,0.00454,-0.07728
14872,0.02229,-0.0465
14894,-0.0003,-0.08112
14917,-0.10467,-0.12812
14938,-0.02165,-0.10117
14961,-0.09215,-0.12931
14984,0.02377,-0.09581
15006,-0.04806,-0.08152
15029,-0.85153,-0.29338
15050,0.00078,1.12727
15073,-0.01042,-0.09885
15095,0.02263,-0.03942
15118,0.02207,-0.05656
15139,-0.01821,-0.09885
15162,0.06134,-0.04351
15184,-0.05958,-0.10283
15207,0.00265,-0.05405
15228,-0.12906,-0.15943
15251,-0.01386,-0.10117
15273,-0.08222,-0.12349
15296,-0.10682,-0.13395
15318,-0.01477,-0.09654
15340,0.017,-0.0645
15362,-0.04198,-0.09608
15385,-0.0177,-0.09866
15407,0.01173,-0.05755
15429,-0.09164,-0.12911
15451,-0.02589,-0.09383
15474,0.01147,-0.08456
15497,0.00596,-0.08171
15519,0.00473,-0.09217
15541,-0.11461,-0.13395
15563,-0.02205,-0.09634
15586,-0.11308,-0.13335
15608,0.00134,-0.07549
15630,-0.02549,-0.09866
15652,-0.08912,-0.12216
15675,0.01488,-0.07628
15697,-0.02355,-0.10289
15720,0.01829,-0.06801
15741,-0.0867,-0.12025
15764,-0.02549,-0.09866
15786,0.03945,-0.05987
15809,-0.10669,-0.13487
15830,0.02309,-0.05616
15853,0.02013,-0.13909
15875,-0.1242,-0.13064
15898,0.0499,-0.17152
15919,-0.00678,-0.05967
15942,-0.02205,-0.09634
15964,-0.0176,-0.06682
15987,-0.11934,-0.13276
16010,-0.03358,-0.0888
16031,-0.08858,-0.12792
16054,0.03762,-0.0506
16076,-0.01386,-0.10117
16099,0.01569,-0.08595
16120,-0.11356,-0.13951
16143,0.00018,-0.19059
16165,0.00174,-0.08032
16188,-0.02205,-0.09634
16209,0.00797,-0.07496
16232,-0.0329,-0.09959
16254,-0.02205,-0.09634
16277,0.01292,-0.06609
16299,-0.125,-0.15189
16321,-0.02205,-0.09634
16343,0.01566,-0.07999
16366,-0.00035,-0.06715
16388,-0.02549,-0.09866
16410,-0.05635,-0.11058
16432,0.00942,-0.05444
16455,-0.01365,-0.06431
16478,0.00858,-0.15445
16499,-0.01518,-0.09171
16522,-0.11359,-0.13355
16544,0.02108,-0.06291
16567,-0.01861,-0.09402
