t_ms,eps_a_brut,eps_g_brut,eps_a_filtre,eps_g_filtre
9290,-0.01742,-0.16643,-0.03989,-0.10925
9314,-0.05808,-0.18305,-0.05808,-0.16643
9338,-0.16681,-0.08121,-0.05808,-0.16643
9363,-0.01336,-0.15888,-0.05808,-0.15888
9386,-0.17968,-0.08915,-0.16681,-0.08915
9411,-0.17651,-0.05202,-0.17651,-0.08915
9436,-0.024,-0.15002,-0.17651,-0.08915
9459,-0.04955,-0.11488,-0.04955,-0.11488
9484,-0.01178,-0.17225,-0.024,-0.15002
9508,-0.01407,-0.11328,-0.01407,-0.11488
9532,0.02302,0.59959,-0.01178,-0.11328
9556,-0.02075,-0.16372,-0.01407,-0.11328
9581,-0.05391,-0.11256,-0.02075,-0.11256
9605,0.00531,-0.1657,-0.02075,-0.16372
9629,-0.05104,-0.06967,-0.05104,-0.11256
9654,-0.16308,-0.05785,-0.05104,-0.06967
9677,-0.12771,-0.05923,-0.12771,-0.05923
9702,-0.17342,-0.08975,-0.16308,-0.05923
9726,-0.03059,-0.1027,-0.12771,-0.08975
9751,-0.1807,-0.08955,-0.17342,-0.08975
9774,-0.13864,-0.07141,-0.13864,-0.08955
9799,-0.00807,-0.17384,-0.13864,-0.08955
9824,-0.01503,-0.15855,-0.01503,-0.15855
9847,-0.03362,-0.17166,-0.01503,-0.17166
9872,-0.13238,-0.0411,-0.03362,-0.15855
9896,-0.04571,-0.11739,-0.04571,-0.11739
9920,-0.14057,-0.06717,-0.13238,-0.06717
9944,-0.02988,-0.17921,-0.04571,-0.11739
9969,0.53569,-0.47563,-0.02988,-0.17921
9993,-0.17189,-0.08915,-0.02988,-0.17921
10017,-0.17138,-0.08895,-0.17138,-0.08915
10042,-0.03907,-0.0342,-0.17138,-0.08895
10066,-0.02161,-0.17305,-0.03907,-0.08895
10090,-0.01844,-0.16683,-0.02161,-0.16683
10114,0.00912,-0.16226,-0.01844,-0.16683
10139,-0.04955,-0.11488,-0.01844,-0.16226
10164,-0.04632,-0.03996,-0.04632,-0.11488
10187,-0.01825,-0.15081,-0.04632,-0.11488
10212,-0.04955,-0.11488,-0.04632,-0.11488
10236,-0.00643,-0.16822,-0.01825,-0.15081
10260,-0.15913,-0.08624,-0.04955,-0.11488
10284,-0.02,-0.16147,-0.02,-0.16147
10309,-0.01428,-0.15425,-0.02,-0.15425
10334,-0.04955,-0.11488,-0.02,-0.15425
10357,-0.0146,-0.16934,-0.0146,-0.15425
10382,-0.04731,-0.07722,-0.04731,-0.11488
10406,-0.05517,0.32048,-0.04731,-0.07722
10431,0.00157,-0.15816,-0.04731,-0.07722
10454,-0.0081,-0.16583,-0.0081,-0.15816
10479,-0.13041,-0.1131,-0.0081,-0.15816
10504,-0.04354,-0.09072,-0.04354,-0.1131
10527,-0.06119,-0.11236,-0.06119,-0.11236
10552,-0.14879,-0.08524,-0.06119,-0.09072
10576,-0.04915,-0.11971,-0.06119,-0.11236
10601,-0.01207,-0.16239,-0.04915,-0.11971
10624,-0.08168,-0.1313,-0.04915,-0.1313
10649,-0.08848,-0.08993,-0.08168,-0.1313
10674,-0.02454,-0.17517,-0.08168,-0.1313
10698,-0.17682,-0.12893,-0.08848,-0.12893
10722,-0.01855,-0.17186,-0.02454,-0.17186
10746,-0.03654,-0.17378,-0.03654,-0.17186
10771,-0.05299,-0.11719,-0.03654,-0.17186
10795,-0.17452,-0.10113,-0.05299,-0.11719
10819,-0.02166,-0.15909,-0.05299,-0.11719
10844,-1.10145,-0.66842,-0.17452,-0.15909
10868,-0.09766,-0.12647,-0.09766,-0.15909
10893,-0.05391,-0.11256,-0.09766,-0.12647
10916,-0.17485,-0.05441,-0.09766,-0.11256
10941,-0.00547,-0.15385,-0.05391,-0.11256
10965,-0.05321,-0.09635,-0.05321,-0.09635
10990,-0.21296,-0.21451,-0.05321,-0.15385
11014,-0.01366,-0.14697,-0.05321,-0.14697
11038,-0.01721,-0.15637,-0.01721,-0.15637
11063,-0.02474,-0.09846,-0.01721,-0.14697
11087,0.01634,-0.14849,-0.01721,-0.14849
11111,-0.00522,-0.18271,-0.00522,-0.14849
11135,-0.31376,-0.19173,-0.00522,-0.18271
11160,-0.04979,-0.00541,-0.04979,-0.18271
11184,-0.02905,-0.16392,-0.04979,-0.16392
11208,-0.09457,-0.01561,-0.04979,-0.01561
11233,0.00402,-0.16219,-0.02905,-0.16219
11257,-0.01572,-0.17477,-0.01572,-0.16219
11281,-0.1465,-0.0824,-0.01572,-0.16219
11305,-0.06914,-0.10754,-0.06914,-0.10754
11330,-0.05116,-0.12646,-0.06914,-0.10754
11353,-0.02075,-0.16372,-0.05116,-0.12646
11378,-0.02816,-0.16259,-0.02816,-0.16259
11403,-0.08757,-0.09456,-0.02816,-0.16259
11427,0.26931,-0.32357,-0.02816,-0.16259
11451,-0.08979,-0.11137,-0.08757,-0.11137
11475,-0.01199,-0.18231,-0.01199,-0.18231
11500,-0.02483,-0.16531,-0.02483,-0.16531
11525,-0.05299,-0.11719,-0.02483,-0.16531
11548,-0.08127,-0.13613,-0.05299,-0.13613
11573,-0.14602,-0.07624,-0.08127,-0.11719
11597,-0.16845,-0.08684,-0.14602,-0.08684
11622,-0.18647,-0.0828,-0.16845,-0.0828
11645,-0.05299,-0.11719,-0.16845,-0.08684
11670,-0.10828,-0.09265,-0.10828,-0.09265
11694,-0.00104,-0.14518,-0.05299,-0.11719
11719,-0.02147,-0.17398,-0.02147,-0.14518
11743,-0.03259,-0.17126,-0.02147,-0.17126
11767,-0.05299,-0.11719,-0.03259,-0.17126
11792,-0.08471,-0.13845,-0.05299,-0.13845
11815,-0.15905,-0.07525,-0.08471,-0.11719
11840,-0.15953,-0.08141,-0.15905,-0.08141
11864,-0.16662,-0.0961,-0.15953,-0.08141
11889,-0.16413,-0.08319,-0.16413,-0.08319
11913,-0.01976,-0.15736,-0.16413,-0.0961
11937,-0.12783,-0.08716,-0.12783,-0.08716
11962,-0.03858,-0.17047,-0.03858,-0.15736
11986,-0.17694,-0.07214,-0.12783,-0.08716
12010,-0.25278,-0.04641,-0.17694,-0.07214
12034,-0.1656,-0.0957,-0.17694,-0.07214
12059,-0.16077,-0.09186,-0.1656,-0.09186
12084,-0.04864,-0.11951,-0.16077,-0.0957
12107,-0.17393,-0.05904,-0.16077,-0.09186
12132,-0.12155,-0.06485,-0.12155,-0.06485
12156,-0.15035,-0.04897,-0.15035,-0.05904
12181,-0.01433,-0.17325,-0.12155,-0.06485
12204,-0.04955,-0.11488,-0.04955,-0.11488
12229,-0.03058,-0.16451,-0.03058,-0.16451
12254,-0.14406,-0.08643,-0.04955,-0.11488
12278,-0.0348,-0.13222,-0.0348,-0.13222
12302,-0.17046,-0.09359,-0.14406,-0.09359
12326,-0.04915,-0.11971,-0.04915,-0.11971
12351,-0.15891,-0.10709,-0.15891,-0.10709
12375,-0.01195,-0.13241,-0.04915,-0.11971
12399,-0.05299,-0.11719,-0.05299,-0.11719
12424,0.01833,-0.16669,-0.01195,-0.13241
