fichier,Ca_mm,Cg_mm,freq_MHz_reelle,|S_gen|_mes_dB,|S_gen|_mod_dB,ecart_gen_dB,|S_ant|_mes_dB,|S_ant|_mod_dB,ecart_ant_dB,Gamma2_G_mesure
CA_35p00_CG45p00.s2p,35.0,45.0,37.9,-4.425332505254195,-4.382339157367489,-0.04299334788670617,-4.460139634693565,-4.3823391573675,-0.07780047732606477,0.3609663761614898
CA_35p00_CG48p00.s2p,35.0,48.0,37.9,-3.758005347412898,-3.4215022461390814,-0.33650310127381644,-3.799229888323177,-3.421502246139088,-0.37772764218408916,0.4209199065031725
CA_40p00_CG10p00.s2p,40.0,10.0,37.9,-0.03437547366945702,-0.00015190940904488538,-0.034223564260412134,-0.0786441311392675,-0.00015190940904488538,-0.07849222173022262,0.9921159977441504
CA_40p00_CG15p00.s2p,40.0,15.0,37.9,-0.1136460677209144,-0.027062063438461875,-0.08658400428245253,-0.15338415982941206,-0.02706206343846091,-0.12632209639095116,0.974171440253688
CA_40p00_CG20p00.s2p,40.0,20.0,37.9,-0.3467409362705898,-0.18645282103081817,-0.1602881152397716,-0.3837531544985842,-0.18645282103081323,-0.19730033346777098,0.9232640096409429
CA_40p00_CG25p00.s2p,40.0,25.0,37.9,-0.9678740799719308,-0.9881915027714618,0.020317422799531082,-0.9953164248948093,-0.9881915027714501,-0.007124922123359245,0.8002258786585014
CA_40p00_CG30p00.s2p,40.0,30.0,37.9,-2.6461855210237224,-5.999001784907153,3.352816263883431,-2.6627038627860418,-5.9990017849071355,3.3362979221210938,0.5437276866862293
CA_40p00_CG35p00.s2p,40.0,35.0,37.9,-7.140208678968873,-8.07753087002368,0.9373221910548066,-7.153035377415501,-8.077530870023676,0.924495492608175,0.19318754879603103
CA_40p00_CG40p00.s2p,40.0,40.0,37.9,-19.36309122208888,-3.136421741155488,-16.226669480933392,-19.67548350874711,-3.1364217411554964,-16.539061767591612,0.011579528548549357
CA_40p00_CG45p00.s2p,40.0,45.0,37.9,-10.690553593531725,-1.8222055342607941,-8.86834805927093,-10.802499111173576,-1.8222055342607955,-8.98029357691278,0.08529913765995685
CA_40p00_CG48p00.s2p,40.0,48.0,37.9,-7.558320862067054,-1.4579774315153218,-6.100343430551733,-7.644011032491756,-1.4579774315153273,-6.186033600976429,0.17545587459363185
CA_45p00_CG10p00.s2p,45.0,10.0,37.9,-0.02946877486271083,-0.00011246106877084718,-0.02935631379393998,-0.04445340667543614,-0.00011246106877277585,-0.044340945606663365,0.9932375329201165
CA_45p00_CG15p00.s2p,45.0,15.0,37.9,-0.07018799479121762,-0.020635344807920612,-0.04955264998329701,-0.08401201636930153,-0.02063534480792544,-0.06337667156137608,0.9839685114003247
CA_45p00_CG20p00.s2p,45.0,20.0,37.9,-0.19531889703456096,-0.150061820092276,-0.04525707694228495,-0.2039866702683046,-0.15006182009227503,-0.053924850176029576,0.9560224929002494
CA_45p00_CG25p00.s2p,45.0,25.0,37.9,-0.5465117644530985,-0.8926398007539675,0.3461280363008691,-0.5511260365141937,-0.8926398007539589,0.3415137642397652,0.8817568121344416
CA_45p00_CG30p00.s2p,45.0,30.0,37.9,-1.6263693871625804,-6.268741914560229,4.642372527397648,-1.6215487681161276,-6.268741914560248,4.6471931464441205,0.6876430552948678
CA_45p00_CG35p00.s2p,45.0,35.0,37.9,-5.206611477558178,-4.382339157367505,-0.8242723201906736,-5.183645590234978,-4.382339157367503,-0.8013064328674746,0.3015357797684608
CA_45p00_CG40p00.s2p,45.0,40.0,37.9,-12.169934693073204,-1.8222055342607941,-10.34772915881241,-11.954026985309747,-1.8222055342607977,-10.13182145104895,0.06067454534398636
CA_45p00_CG45p00.s2p,45.0,45.0,37.9,-6.388301840162409,-1.101600389406135,-5.286701450756274,-6.36026272177205,-1.1016003894061392,-5.25866233236591,0.22970466539602172
CA_45p00_CG48p00.s2p,45.0,48.0,37.9,-4.405858225302782,-0.8952880847725457,-3.5105701405302363,-4.407975122976163,-0.8952880847725521,-3.512687038203611,0.36258862669223285
CA_48p00_CG10p00.s2p,48.0,10.0,37.9,-0.02981051171277317,-9.883077058519736e-05,-0.029711680942187974,-0.03883805308438326,-9.883077058423302e-05,-0.038739222313799025,0.993159380301095
CA_48p00_CG15p00.s2p,48.0,15.0,37.9,-0.06093777452247657,-0.018347495087698288,-0.04259027943477828,-0.06756101272398521,-0.018347495087698288,-0.049213517636286924,0.9860665407374896
CA_48p00_CG20p00.s2p,48.0,20.0,37.9,-0.16150627447217844,-0.13636429072965942,-0.025141983742519025,-0.1648126019676926,-0.13636429072965256,-0.028448311238040036,0.9634947943442428
CA_48p00_CG25p00.s2p,48.0,25.0,37.9,-0.44674587401913834,-0.851322825707152,0.40457695168801366,-0.4445940378947305,-0.8513228257071436,0.40672878781241306,0.9022469291720271
CA_48p00_CG30p00.s2p,48.0,30.0,37.9,-1.356242748154016,-6.121762109121543,4.765519360967527,-1.3500019380757644,-6.121762109121564,4.771760171045799,0.7317718942670988
CA_48p00_CG35p00.s2p,48.0,35.0,37.9,-4.501365303463512,-3.4215022461390983,-1.0798630573244137,-4.463600548168272,-3.4215022461390943,-1.0420983020291779,0.3547018631074303
